sampleid,type,location,total_count,total_fibers,total_particles,blank_adj_count,blank_adj_count_zero_corr,blank_adj_count_m3,blank_adj_count_m3_zero_corr,prop_fibers,prop_frag
1D111,offshore,Davidson,48,24,24,26,26,0.216666667,0.216666667,0.5,0.5
1D211,offshore,Davidson,4,4,0,-18,0,-0.15,0,NA,NA
1D311,offshore,Davidson,4,0,4,-18,0,-0.15,0,NA,NA
1S211,offshore,SurRidge,296,128,168,274,274,2.283333333,2.283333333,0.432432432,0.567567568
1S311,offshore,SurRidge,700,664,36,678,678,5.65,5.65,0.948571429,0.051428571
1S312,offshore,SurRidge,16,8,8,-6,0,-0.05,0,NA,NA
2B112,nearshore,Boardwalk,108,12,96,86,86,0.716666667,0.716666667,0.111111111,0.888888889
2B122,nearshore,Boardwalk,92,60,32,70,70,0.583333333,0.583333333,0.652173913,0.347826087
2B211,nearshore,Boardwalk,60,28,32,38,38,0.316666667,0.316666667,0.466666667,0.533333333
2B311,nearshore,Boardwalk,76,52,24,54,54,0.45,0.45,0.684210526,0.315789474
2D111,offshore,Davidson,116,12,104,94,94,0.783333333,0.783333333,0.103448276,0.896551724
2D211,offshore,Davidson,84,64,20,62,62,0.516666667,0.516666667,0.761904762,0.238095238
2D312,offshore,Davidson,0,0,0,-22,0,-0.183333333,0,NA,NA
2D322,offshore,Davidson,4,4,0,-18,0,-0.15,0,NA,NA
2S111,offshore,SurRidge,188,48,140,166,166,1.383333333,1.383333333,0.255319149,0.744680851
2S312,offshore,SurRidge,48,36,12,26,26,0.216666667,0.216666667,0.75,0.25
2S322,offshore,SurRidge,76,36,40,54,54,0.45,0.45,0.473684211,0.526315789
3D111,offshore,Davidson,88,80,8,66,66,0.55,0.55,0.909090909,0.090909091
3D211,offshore,Davidson,48,48,0,26,26,0.216666667,0.216666667,1,0
3D311,offshore,Davidson,56,32,24,34,34,0.283333333,0.283333333,0.571428571,0.428571429
B111,nearshore,Boardwalk,96,56,40,74,74,0.616666667,0.616666667,0.583333333,0.416666667
B211,nearshore,Boardwalk,2344,120,2220,2322,2322,19.35,19.35,0.051194539,0.947098976
B311,nearshore,Boardwalk,72,40,32,50,50,0.416666667,0.416666667,0.555555556,0.444444444
M111,nearshore,Marina,44,44,0,22,22,0.183333333,0.183333333,1,0
M212,nearshore,Marina,80,44,36,58,58,0.483333333,0.483333333,0.55,0.45
M222,nearshore,Marina,152,48,104,130,130,1.083333333,1.083333333,0.315789474,0.684210526
M311,nearshore,Marina,24,12,12,2,2,0.016666667,0.016666667,0.5,0.5
S111,offshore,SurRidge,40,40,0,18,18,0.15,0.15,1,0
